"SERIES","Producción y exportaciones de cobre. BD00301","Producción y exportaciones de cobre. BD00302","Producción y exportaciones de cobre. BD00303","Producción y exportaciones de cobre. BD00304"
"DESCRIPCIÓN","Producción de cobre de mina. Total","Producción de cobre de mina. Acumulado","Exportaciones de cobre. Total","Exportaciones de cobre. Acumulado"
"UNIDAD","Miles de tonelada de fino","Miles de tonelada de fino","Miles de tonelada de fino","Miles de tonelada de fino"
"JUN2015","510.1","2925.9","435.25026452","2859.52288577"
"JUL2015","456.5","3382.4","636.35725729","3495.88014306"
"AGO2015","442.3","3824.7","443.13982313","3939.01996619"
"SEP2015","468.3","4293","501.65627188","4440.67623807"
"OCT2015","498.6","4791.6","439.37573161","4880.05196968"
"NOV2015","484.6","5276.2","432.1318528","5312.18382248"
"DIC2015","495.9","5772.1","482.70366521","5794.88748769"
"ENE2016","460.1","460.1","537.25852545","537.25852545"
"FEB2016","447.3","907.4","345.49354256","882.75206801"
"MAR2016","487.2","1394.6","565.27764664","1448.02971465"
"ABR2016","431.8","1826.4","521.813245844","1969.842960494"
"MAY2016","472.2","2298.6","607.62346522","2577.466425714"
"JUN2016","469.1","2767.7","509.71562426","3087.182049974"
"JUL2016","445.5","3213.2","408.2","3495.382049974"
"AGO2016","453.5","3666.7","417.8","3913.182049974"
"SEP2016","460.3","4127","427.7","4340.882049974"
"OCT2016","443.5","4570.5","448.5","4789.382049974"
"NOV2016","479.2","5049.7","513.3","5302.682049974"
"DIC2016","502.9","5552.6","591.8","5894.482049974"
"ENE2017","448.1","448.1","567.2","567.2"
"FEB2017","370.9","819","388.1","955.3"
"MAR2017","373.1","1192.1","463.2","1418.5"
"ABR2017","420.1","1612.2","375.2","1793.7"
"MAY2017","466","2078.2","471.3","2265"
"JUN2017","443.8","2522","426.1","2691.1"
"JUL2017","468.1","2990.1","495.2","3186.3"
"AGO2017","496.6","3486.7","544.1","3730.4"
"SEP2017","476.5","3963.2","437.7","4168.1"
"OCT2017","510.4","4473.6","551.3","4719.4"
"NOV2017","497.8","4971.4","492.8","5212.2"
"DIC2017","532.1","5503.5","523.4","5735.6"
"ENE2018","476.2","476.2","527.1","527.1"
"FEB2018","453.1","929.3","413","940.1"
"MAR2018","488","1417.3","450.4","1390.5"
"ABR2018","446.9","1864.2","505.1","1895.6"
"MAY2018","495.6","2359.8","518.5","2414.1"
"JUN2018","472.3","2832.1","531.8","2945.9"
"JUL2018","482","3314.1","626","3571.9"
"AGO2018","462","3776.1","538.2","4110.1"
"SEP2018","478.2","4254.3","333.8","4443.9"
"OCT2018","490.4","4744.7","573.1","5017"
"NOV2018","536.8","5281.5","521.5","5538.5"
"DIC2018","550.1","5831.6","494.5","6033"
"ENE2019","457.1","457.1","611","611"
"FEB2019","415.2","872.3","370","981"
"MAR2019","473.3","1345.6","518.9","1499.9"
"ABR2019","458.6","1804.2","499.8","1999.7"
"MAY2019","487.8","2292","452","2451.7"
"JUN2019","469.9","2761.9","481.9","2933.6"
"JUL2019","486.8","3248.7","575.7","3509.3"
"AGO2019","513.3","3762","510.6","4019.9"
"SEP2019","483.8","4245.8","439.5","4459.4"
"OCT2019","490","4735.8","553.6","5013"
"NOV2019","500.1","5235.9","446.9","5459.9"
"DIC2019","551.5","5787.4","486.2","5946.1"
"ENE2020","460.1","460.1","577.9","577.9"
"FEB2020","448","908.1","360.3","938.2"
"MAR2020","494.7","1402.8","541.5","1479.7"
"ABR2020","470.5","1873.3","571.4","2051.1"
"MAY2020","492.3","2365.6","447.7","2498.8"
"JUN2020","466.5","2832.1","545.7","3044.5"
"JUL2020","465.1","3297.2","525.2","3569.7"
"AGO2020","484.1","3781.3","474","4043.7"
"SEP2020","479.8","4261.1","387.8","4431.5"
"OCT2020","486.5","4747.6","474.6","4906.1"
"NOV2020","485.1","5232.7","423","5329.1"
"DIC2020","500.4","5733.1","513.3","5842.4"
"ENE2021","457.8","457.8","571.8","571.8"
"FEB2021","426.5","884.3","357.6","929.4"
"MAR2021","488.8","1373.1","507.8","1437.2"
"ABR2021","461.2","1834.3","504.5","1941.7"
"MAY2021","487.2","2321.5","458.7","2400.4"
"JUN2021","477.3","2798.8","410.7","2811.1"
"JUL2021","465","3263.8","557.8","3368.9"
"AGO2021","462.8","3726.6","575.6","3944.5"
"SEP2021","447.4","4174","425.3","4369.8"
"OCT2021","470.5","4644.5","412.9","4782.7"
"NOV2021","482.1","5126.6","480.7","5263.3"
"DIC2021","498.3","5624.9","491.1","5754.4"
"ENE2022","425.7","425.7","507.4","507.4"
"FEB2022","394.6","820.3","352.1","859.5"
"MAR2022","457.7","1278","458.9","1318.4"
"ABR2022","419.5","1697.5","434.4","1752.9"
"MAY2022","474.8","2172.3","315.7","2068.6"
"JUN2022","454.7","2627","441","2509.6"
"JUL2022","423.2","3050.2","397.6","2907.2"
"AGO2022","415.5","3465.8","453.6","3360.8"
"SEP2022","434.6","3900.3","484.4","3845.2"
"OCT2022","477","4377.4","358.4","4203.6"
"NOV2022","453.4","4830.8","518.4","4722.1"
"DIC2022","497.5","5328.3","423.8","5145.9"
"ENE2023","432.1","432.1","434.4","434.4"
"FEB2023","379.3","811.4","366.2","800.7"
"MAR2023","435.7","1247.1","453.7","1254.3"
"ABR2023","412.5","1659.6","475.9","1730.2"
"MAY2023","408","2067.6","535.1","2265.2"
"JUN2023","454.8","2522.4","388.8","2654.1"
"JUL2023","430.7","2953.1","480.5","3134.6"
"AGO2023","429.5","3382.6","423.4","3558"
